dates,pression,temp_riv
07-10-2024 15:15,1.0102508000000014,16.829
07-10-2024 15:30,-0.07362159999999562,16.146
07-10-2024 19:30,1.4802192000000076,14.292
07-10-2024 19:45,0.7982879999999994,14.295
07-10-2024 20:00,0.11594200000000399,14.288
07-10-2024 20:15,-0.46145959999999775,14.289
07-10-2024 20:30,-0.7937143999999989,14.288
07-10-2024 20:45,-0.9409684000000027,14.292
07-10-2024 21:00,-1.0799263999999908,14.312
07-10-2024 21:15,-1.1180880000000002,14.331
07-10-2024 21:30,-1.208099599999997,14.352
07-10-2024 21:45,-1.0691415999999947,14.384
07-10-2024 22:00,-1.2176399999999887,14.412
07-10-2024 22:15,-1.6262179999999944,14.448
07-10-2024 22:30,-1.8410843999999997,14.477
07-10-2024 22:45,-2.015300400000001,14.506
07-10-2024 23:00,-2.2160635999999982,14.526
07-10-2024 23:15,-2.2542251999999934,14.536
07-10-2024 23:30,-2.091208800000004,14.548
07-10-2024 23:45,-2.106971200000004,14.554
08-10-2024 00:00,-2.1642135999999965,14.565
08-10-2024 00:15,-2.199056799999994,14.58
08-10-2024 00:30,-2.069224399999996,14.595
08-10-2024 00:45,-2.023181600000001,14.611
08-10-2024 01:00,-1.7651759999999967,14.622
08-10-2024 01:15,-1.8190999999999917,14.634
08-10-2024 01:30,-1.393515199999996,14.641
08-10-2024 01:45,-0.6369199999999893,14.649
08-10-2024 02:00,-1.0770227999999946,14.652
08-10-2024 02:15,-1.6623055999999963,14.655
08-10-2024 02:30,-2.151354799999993,14.644
08-10-2024 02:45,-1.7382139999999993,14.628
08-10-2024 03:00,-2.3127119999999906,14.607
08-10-2024 03:15,-2.267083999999997,14.589
08-10-2024 03:30,-2.3649767999999938,14.589
08-10-2024 03:45,-1.7825975999999883,14.598
08-10-2024 04:00,-2.235144399999996,14.599
08-10-2024 04:15,-2.1907607999999925,14.584
08-10-2024 04:30,-1.8348623999999916,14.554
08-10-2024 04:45,-2.1799759999999964,14.518
08-10-2024 05:00,-1.8000191999999942,14.487
08-10-2024 05:15,-1.8887864000000008,14.454
08-10-2024 05:30,-1.8809051999999866,14.423
08-10-2024 05:45,-1.8348623999999916,14.394
08-10-2024 06:00,-1.673505199999994,14.364
08-10-2024 06:15,-1.8871271999999948,14.337
08-10-2024 06:30,-1.825322,14.312
08-10-2024 06:45,-1.7037855999999891,14.286
08-10-2024 07:00,-1.6054779999999909,14.261
08-10-2024 07:15,-1.619581199999999,14.238
08-10-2024 07:30,-1.7730571999999967,14.216
08-10-2024 07:45,-1.5594351999999958,14.194
08-10-2024 08:00,-1.8365215999999975,14.174
08-10-2024 08:15,-1.7290883999999949,14.153
08-10-2024 08:30,-1.6892675999999938,14.137
08-10-2024 08:45,-1.7162295999999913,14.122
08-10-2024 09:00,-1.6465431999999964,14.11
08-10-2024 09:15,-1.6527652000000046,14.098
08-10-2024 09:30,-1.8742683999999912,14.089
08-10-2024 09:45,-2.0186187999999987,14.084
08-10-2024 10:00,-1.7083483999999913,14.081
08-10-2024 10:15,-1.9945603999999975,14.075
08-10-2024 10:30,-1.793797199999986,14.068
08-10-2024 10:45,-1.7635167999999908,14.06
08-10-2024 11:00,-1.6150183999999967,14.059
08-10-2024 11:15,-1.797115599999998,14.057
08-10-2024 11:30,-1.8410843999999997,14.059
08-10-2024 11:45,-1.9281924000000004,14.057
08-10-2024 12:00,-1.9534951999999919,14.062
08-10-2024 12:15,-1.7825975999999883,14.068
08-10-2024 12:30,-1.7796939999999921,14.078
08-10-2024 12:45,-1.9203111999999862,14.095
08-10-2024 13:00,-1.8601651999999973,14.114
08-10-2024 13:15,-1.7398732000000052,14.14
08-10-2024 13:30,-1.9771387999999916,14.164
08-10-2024 13:45,-1.9140891999999923,14.183
08-10-2024 14:00,-1.855602399999995,14.207
08-10-2024 14:15,-1.749413599999997,14.229
08-10-2024 14:30,-1.8000191999999942,14.235
08-10-2024 14:45,-2.0563656000000066,14.265
08-10-2024 15:00,-1.8315439999999938,14.307
08-10-2024 15:15,-1.7527319999999946,14.358
08-10-2024 15:30,-1.4851859999999988,14.406
08-10-2024 15:45,-1.659402,14.441
08-10-2024 16:00,-1.8000191999999942,14.465
08-10-2024 16:15,-1.7382139999999993,14.502
08-10-2024 16:30,-1.4503428000000014,14.517
08-10-2024 16:45,-1.4391432000000037,14.538
08-10-2024 17:00,-1.437898799999985,14.565
08-10-2024 17:15,-1.5026075999999904,14.587
08-10-2024 17:30,-1.3760935999999901,14.607
08-10-2024 17:45,-1.197314800000001,14.623
08-10-2024 18:00,-1.3665531999999985,14.64
08-10-2024 18:15,-1.3001851999999872,14.653
08-10-2024 18:30,-1.187774399999995,14.664
08-10-2024 18:45,-1.1608123999999975,14.674
08-10-2024 19:00,0.8331311999999969,14.691
08-10-2024 19:15,0.040033600000001,14.699
08-10-2024 19:30,-1.733651199999997,14.698
08-10-2024 19:45,-1.7622724000000005,14.71
08-10-2024 20:00,-1.7780348000000004,14.714
08-10-2024 20:15,-1.9186519999999945,14.717
08-10-2024 20:30,-1.9489323999999897,14.711
08-10-2024 20:45,-2.0186187999999987,14.717
08-10-2024 21:00,-2.0406031999999925,14.729
08-10-2024 21:15,-2.080009199999992,14.734
08-10-2024 21:30,-2.2845055999999886,14.729
08-10-2024 21:45,-1.057941999999997,14.725
08-10-2024 22:00,-0.8492975999999999,14.723
08-10-2024 22:15,-1.0185359999999974,14.719
08-10-2024 22:30,-0.5610116000000005,14.708
08-10-2024 22:45,-0.6941623999999962,14.682
08-10-2024 23:00,-0.7526491999999934,14.65
08-10-2024 23:15,-0.7223687999999981,14.617
08-10-2024 23:30,-0.41707599999999445,14.583
08-10-2024 23:45,-0.08648039999999924,14.55
09-10-2024 00:00,0.016390000000001237,14.508
09-10-2024 00:15,-0.5390271999999925,14.454
09-10-2024 00:30,-1.0882223999999923,14.397
09-10-2024 00:45,-0.7447679999999934,14.334
09-10-2024 01:00,-1.4013963999999959,14.283
09-10-2024 01:15,-1.2827635999999956,14.244
09-10-2024 01:30,-1.0832448000000028,14.219
09-10-2024 01:45,-1.4457799999999992,14.204
09-10-2024 02:00,-1.2889855999999895,14.191
09-10-2024 02:15,-1.4474392000000051,14.179
09-10-2024 02:30,-1.7224515999999994,14.168
09-10-2024 02:45,-1.7100075999999973,14.158
09-10-2024 03:00,-1.5183699999999902,14.149
09-10-2024 03:15,-1.8983267999999924,14.14
09-10-2024 03:30,-1.3872931999999878,14.129
09-10-2024 03:45,-1.787575199999992,14.12
09-10-2024 04:00,-1.793797199999986,14.113
09-10-2024 04:15,-1.9281924000000004,14.105
09-10-2024 04:30,-1.8410843999999997,14.096
09-10-2024 04:45,-1.6863639999999975,14.087
09-10-2024 05:00,-1.7129111999999935,14.078
09-10-2024 05:15,-1.8224183999999894,14.071
09-10-2024 05:30,-1.7162295999999913,14.065
09-10-2024 05:45,-2.0343811999999986,14.059
09-10-2024 06:00,-1.9012304000000029,14.053
09-10-2024 06:15,-1.6274623999999989,14.047
09-10-2024 06:30,-1.9028895999999946,14.042
09-10-2024 06:45,-2.07544639999999,14.035
09-10-2024 07:00,-2.0024415999999974,14.032
09-10-2024 07:15,-1.7207923999999934,14.029
09-10-2024 07:30,-1.8315439999999938,14.026
09-10-2024 07:45,-1.7083483999999913,14.021
09-10-2024 08:00,-1.7730571999999967,14.02
09-10-2024 08:15,-1.5801751999999993,14.017
09-10-2024 08:30,-1.8062411999999881,14.014
09-10-2024 08:45,-1.5532131999999876,14.012
09-10-2024 09:00,-1.4901635999999883,14.009
09-10-2024 09:15,-1.9078671999999983,14.008
09-10-2024 09:30,-1.6386619999999965,14.006
09-10-2024 09:45,-1.8190999999999917,14.005
09-10-2024 10:00,-1.6925859999999915,14.005
09-10-2024 10:15,-1.3698715999999962,14.009
09-10-2024 10:30,-1.2985259999999954,14.012
09-10-2024 10:45,-1.39185599999999,14.018
09-10-2024 11:00,-1.067482400000003,14.03
09-10-2024 11:15,-0.7464271999999994,14.041
09-10-2024 11:30,-0.8982439999999912,14.056
09-10-2024 11:45,-0.6182539999999932,14.071
09-10-2024 12:00,-1.0770227999999946,14.086
09-10-2024 12:15,-1.4424615999999872,14.104
09-10-2024 12:30,-1.9551543999999978,14.12
09-10-2024 12:45,-0.6958215999999879,14.137
09-10-2024 13:00,-1.3872931999999878,14.164
09-10-2024 13:15,-1.0421795999999972,14.189
09-10-2024 13:30,-1.4424615999999872,14.213
09-10-2024 13:45,-1.7224515999999994,14.238
09-10-2024 14:00,-1.6465431999999964,14.27
09-10-2024 14:15,-3.379162800000003,14.298
09-10-2024 14:30,-1.9203111999999862,14.321
09-10-2024 14:45,-1.993315999999993,14.34
09-10-2024 15:00,-0.9741523999999941,14.36
09-10-2024 15:15,-1.345813199999995,14.384
09-10-2024 15:30,-2.8523667999999986,14.409
09-10-2024 15:45,-1.6942451999999975,14.433
09-10-2024 16:00,-2.3363555999999903,14.46
09-10-2024 16:15,-2.3301335999999964,14.489
09-10-2024 16:30,-2.7146531999999866,14.524
09-10-2024 16:45,-2.4487663999999967,14.563
09-10-2024 17:00,-2.4205599999999947,14.604
09-10-2024 17:15,-1.0438388000000032,14.641
09-10-2024 17:30,-1.985434799999993,14.673
09-10-2024 17:45,-4.10257399999999,14.696
09-10-2024 18:00,-2.924956800000004,14.723
09-10-2024 18:15,-2.873106800000002,14.74
09-10-2024 18:30,-2.841167199999987,14.768
09-10-2024 18:45,-2.4661879999999883,14.791
09-10-2024 19:00,-2.1828795999999926,14.807
09-10-2024 19:15,-2.233485200000004,14.818
09-10-2024 19:30,-2.219381999999996,14.815
09-10-2024 19:45,-1.7303327999999851,14.839
09-10-2024 20:00,-2.2227003999999937,14.868
09-10-2024 20:15,-1.945613999999992,14.897
09-10-2024 20:30,-2.499371999999994,14.927
09-10-2024 20:45,-2.7416151999999983,14.949
09-10-2024 21:00,-2.638744799999998,14.967
09-10-2024 21:15,-2.135592399999993,14.985
09-10-2024 21:30,-2.888869199999988,14.984
09-10-2024 21:45,-2.403138400000003,14.972
09-10-2024 22:00,-1.7904788000000025,14.951
09-10-2024 22:15,-2.138910799999991,14.924
09-10-2024 22:30,-2.447107200000005,14.892
09-10-2024 22:45,-2.2525660000000016,14.852
09-10-2024 23:00,-1.9804572000000036,14.809
09-10-2024 23:15,-2.675247199999987,14.762
09-10-2024 23:30,-2.6781507999999974,14.716
09-10-2024 23:45,-2.8303823999999906,14.667
10-10-2024 00:00,-2.8063239999999894,14.619
10-10-2024 00:15,-2.3869611999999876,14.571
10-10-2024 00:30,-2.676906399999993,14.524
10-10-2024 00:45,-3.2020432000000056,14.478
10-10-2024 01:00,-2.301512399999993,14.433
10-10-2024 01:15,-2.425122799999997,14.39
10-10-2024 01:30,-2.8142052000000035,14.349
10-10-2024 01:45,-2.706772000000001,14.31
10-10-2024 02:00,-3.0879731999999933,14.271
10-10-2024 02:15,-4.0183696,14.234
10-10-2024 02:30,-2.9344971999999956,14.197
10-10-2024 02:45,-3.4077839999999924,14.164
10-10-2024 03:00,-2.8382635999999906,14.125
10-10-2024 03:15,-3.1688592,14.09
10-10-2024 03:30,-3.3857995999999986,14.06
10-10-2024 03:45,-3.159318799999994,14.029
10-10-2024 04:00,-3.1481191999999965,14.0
10-10-2024 04:15,-3.031145599999988,13.975
10-10-2024 04:30,-3.3634004000000033,13.949
10-10-2024 04:45,-3.2762924000000027,13.924
10-10-2024 05:00,-3.8080659999999966,13.898
10-10-2024 05:15,-3.3082319999999896,13.876
10-10-2024 05:30,-3.2161463999999995,13.855
10-10-2024 05:45,-3.5438383999999985,13.831
10-10-2024 06:00,-4.304996399999993,13.811
10-10-2024 06:15,-3.5500603999999925,13.792
10-10-2024 06:30,-4.029569199999997,13.777
10-10-2024 06:45,-4.450591200000005,13.76
10-10-2024 07:00,-4.584986399999991,13.745
10-10-2024 07:15,-4.085152399999998,13.732
10-10-2024 07:30,-2.912512800000002,13.721
10-10-2024 07:45,-4.608629999999991,13.712
10-10-2024 08:00,-3.297032399999992,13.705
10-10-2024 08:15,-4.056531199999995,13.702
10-10-2024 08:30,-3.849131199999988,13.703
10-10-2024 08:45,-4.368460799999994,13.705
10-10-2024 09:00,-4.353942799999999,13.711
10-10-2024 09:15,-4.3414987999999965,13.72
10-10-2024 09:30,-3.830465199999992,13.736
10-10-2024 09:45,-5.641896799999998,13.754
10-10-2024 10:00,-4.860413600000001,13.778
10-10-2024 10:15,-4.163964399999998,13.798
10-10-2024 10:30,-4.050309199999987,13.822
10-10-2024 10:45,-4.243191199999998,13.85
10-10-2024 11:00,-4.624807199999992,13.871
10-10-2024 11:15,-4.248168800000002,13.898
10-10-2024 11:30,-4.879494399999999,13.931
10-10-2024 11:45,-4.238628399999996,13.969
10-10-2024 12:00,-5.327063599999988,13.991
10-10-2024 12:15,-4.650109999999998,14.047
10-10-2024 12:30,-5.157825200000005,14.087
10-10-2024 12:45,-3.9300171999999947,14.089
10-10-2024 13:00,-4.4252883999999995,14.132
10-10-2024 13:15,-4.1498611999999895,14.137
10-10-2024 13:30,-5.281435599999995,14.173
10-10-2024 13:45,-3.510654399999993,14.247
10-10-2024 14:00,-3.8603307999999856,14.283
10-10-2024 14:15,-4.274715999999998,14.315
10-10-2024 14:30,-4.178482399999993,14.336
10-10-2024 14:45,-4.509078000000002,14.351
10-10-2024 15:00,-4.066071600000001,14.39
10-10-2024 15:15,-3.9412167999999923,14.414
10-10-2024 15:30,-4.979046400000001,14.442
10-10-2024 15:45,-4.412429599999996,14.466
10-10-2024 16:00,-4.183045199999995,14.469
10-10-2024 16:15,-3.7956219999999945,14.484
10-10-2024 16:30,-3.205361599999989,14.49
10-10-2024 16:45,-3.830465199999992,14.496
10-10-2024 17:00,-3.716395199999994,14.517
10-10-2024 17:15,-3.5533788000000044,14.538
10-10-2024 17:30,-3.8238283999999965,14.541
10-10-2024 17:45,-3.8333688000000024,14.548
10-10-2024 18:00,-3.578681599999996,14.568
10-10-2024 18:15,-3.233567999999991,14.559
10-10-2024 18:30,-3.031145599999988,14.551
10-10-2024 18:45,-3.7197135999999915,14.544
10-10-2024 19:00,-3.024923599999994,14.53
10-10-2024 19:15,-3.4061247999999864,14.515
10-10-2024 19:30,-5.007667599999991,14.506
10-10-2024 19:45,-4.735558799999993,14.49
10-10-2024 20:00,-5.836852800000003,14.463
10-10-2024 20:15,-5.912761200000006,14.433
10-10-2024 20:30,-4.994808799999987,14.406
10-10-2024 20:45,-5.99821,14.382
10-10-2024 21:00,-5.428274799999997,14.357
10-10-2024 21:15,-5.259036399999999,14.33
10-10-2024 21:30,-5.629452799999996,14.295
10-10-2024 21:45,-4.906456399999996,14.256
10-10-2024 22:00,-5.581750799999995,14.228
10-10-2024 22:15,-5.542344799999995,14.192
10-10-2024 22:30,-5.7953727999999956,14.153
10-10-2024 22:45,-5.382646800000003,14.117
10-10-2024 23:00,-6.138827199999994,14.084
10-10-2024 23:15,-4.942543999999998,14.06
10-10-2024 23:30,-5.629452799999996,14.044
10-10-2024 23:45,-6.488503600000001,14.029
11-10-2024 00:00,-6.368211599999995,14.009
11-10-2024 00:15,-6.640735199999995,13.988
11-10-2024 00:30,-6.2006324000000035,13.966
11-10-2024 00:45,-5.7953727999999956,13.948
11-10-2024 01:00,-6.401810400000002,13.934
11-10-2024 01:15,-7.043920799999995,13.918
11-10-2024 01:30,-6.297280799999996,13.9
11-10-2024 01:45,-7.124806799999988,13.886
11-10-2024 02:00,-7.028158399999995,13.868
11-10-2024 02:15,-9.787822799999987,13.852
11-10-2024 02:30,-8.50443159999999,13.831
11-10-2024 02:45,-7.827477999999999,13.81
11-10-2024 03:00,-8.173835999999994,13.784
11-10-2024 03:15,-9.056945199999987,13.76
11-10-2024 03:30,-9.92719559999999,13.735
11-10-2024 03:45,-10.213407599999996,13.706
11-10-2024 04:00,-9.882812000000001,13.675
11-10-2024 04:15,-9.482529999999997,13.642
11-10-2024 04:30,-8.887292000000002,13.608
11-10-2024 04:45,-9.523595199999988,13.572
11-10-2024 05:00,-10.161142799999993,13.538
11-10-2024 05:15,-10.909856799999986,13.505
11-10-2024 05:30,-10.987424399999995,13.475
11-10-2024 05:45,-11.34954479999999,13.454
11-10-2024 06:00,-10.9019756,13.434
11-10-2024 06:15,-10.485516399999995,13.415
11-10-2024 06:30,-10.191423199999988,13.391
11-10-2024 06:45,-10.0047632,13.371
11-10-2024 07:00,-9.582082,13.351
11-10-2024 07:15,-8.4364044,13.329
11-10-2024 07:30,-9.205443599999995,13.314
11-10-2024 07:45,-9.273470799999998,13.302
11-10-2024 08:00,-9.616925199999997,13.287
11-10-2024 08:15,-9.032886799999986,13.273
11-10-2024 08:30,-9.577519199999998,13.263
11-10-2024 08:45,-8.963615199999992,13.252
11-10-2024 09:00,-8.602739199999988,13.24
11-10-2024 09:15,-9.444368400000002,13.231
11-10-2024 09:30,-9.41740639999999,13.225
11-10-2024 09:45,-8.805161599999991,13.219
11-10-2024 10:00,-8.8512044,13.212
11-10-2024 10:15,-9.0250056,13.201
11-10-2024 10:30,-8.366717999999992,13.194
11-10-2024 10:45,-8.21199759999999,13.197
11-10-2024 11:00,-8.996799199999998,13.2
11-10-2024 11:15,-7.920807999999994,13.204
11-10-2024 11:30,-9.028323999999998,13.219
11-10-2024 11:45,-8.664544399999997,13.234
11-10-2024 12:00,-8.588635999999994,13.269
11-10-2024 12:15,-8.145214800000005,13.3
11-10-2024 12:30,-7.479045999999997,13.335
11-10-2024 12:45,-7.569472399999995,13.356
11-10-2024 13:00,-8.05022559999999,13.392
11-10-2024 13:15,-7.0787639999999925,13.419
11-10-2024 13:30,-7.444202799999999,13.452
11-10-2024 13:45,-7.4744831999999946,13.488
11-10-2024 14:00,-7.395256399999994,13.524
11-10-2024 14:15,-6.8398392,13.565
11-10-2024 14:30,-7.338428800000003,13.613
11-10-2024 14:45,-7.257542799999996,13.655
11-10-2024 15:00,-7.140569199999987,13.694
11-10-2024 15:15,-7.055120399999993,13.73
11-10-2024 15:30,-7.9062899999999985,13.745
11-10-2024 15:45,-7.828722400000004,13.78
11-10-2024 16:00,-7.018617999999989,13.838
11-10-2024 16:15,-6.9302655999999985,13.883
11-10-2024 16:30,-7.070882799999993,13.915
11-10-2024 16:45,-6.827395199999998,13.955
11-10-2024 17:00,-7.581916399999997,13.973
11-10-2024 17:15,-7.102407599999992,13.985
11-10-2024 17:30,-6.803336799999997,13.988
11-10-2024 17:45,-6.865141999999992,14.0
11-10-2024 18:00,-6.980871199999996,14.017
11-10-2024 18:15,-6.503021599999997,14.029
11-10-2024 18:30,-6.596351599999991,14.026
11-10-2024 18:45,-6.8398392,14.018
11-10-2024 19:00,-6.8477204,13.997
11-10-2024 19:15,-6.230912799999999,13.969
11-10-2024 19:30,-6.920725199999993,13.937
11-10-2024 19:45,-6.333368399999998,13.9
11-10-2024 20:00,-6.455319599999996,13.856
11-10-2024 20:15,-6.491821999999999,13.808
11-10-2024 20:30,-6.42213559999999,13.756
11-10-2024 20:45,-7.12148839999999,13.699
11-10-2024 21:00,-6.572707999999992,13.638
11-10-2024 21:15,-6.641979599999999,13.577
11-10-2024 21:30,-7.014055199999987,13.515
11-10-2024 21:45,-6.904962799999993,13.457
11-10-2024 22:00,-6.575611599999988,13.403
11-10-2024 22:15,-6.5283244000000025,13.354
11-10-2024 22:30,-6.934828400000001,13.306
11-10-2024 22:45,-6.567730400000002,13.258
11-10-2024 23:00,-5.893680399999994,13.212
11-10-2024 23:15,-6.509243599999991,13.163
11-10-2024 23:30,-6.7527311999999995,13.117
11-10-2024 23:45,-6.251238000000001,13.073
12-10-2024 00:00,-6.129286800000003,13.031
12-10-2024 00:15,-6.521687599999993,12.987
12-10-2024 00:30,-6.070799999999991,12.95
12-10-2024 00:45,-6.230912799999999,12.909
12-10-2024 01:00,-5.877917999999994,12.87
12-10-2024 01:15,-6.54864959999999,12.834
12-10-2024 01:30,-6.876341599999989,12.796
12-10-2024 01:45,-6.317605999999998,12.763
12-10-2024 02:00,-6.6896816,12.733
12-10-2024 02:15,-6.483940799999999,12.704
12-10-2024 02:30,-6.222616799999997,12.677
12-10-2024 02:45,-5.752648399999984,12.653
12-10-2024 03:00,-6.303502800000004,12.63
12-10-2024 03:15,-6.787574399999997,12.613
