dates_parsed,dH,temperature_stream_C
2016-06-27 12:45:00,-0.009873479225569973,13.939
2016-06-27 13:00:00,-0.00918884645759465,13.967
2016-06-27 13:15:00,-0.0069006116260225845,13.985
2016-06-27 13:30:00,-0.005825008632508098,14.021
2016-06-27 13:45:00,-0.005106760706874135,14.062
2016-06-27 14:00:00,-0.004629055142068757,14.095
2016-06-27 14:15:00,-0.005161085678925413,14.137
2016-06-27 14:30:00,-0.005148121532039316,14.177
2016-06-27 14:45:00,-0.005168772542812012,14.204
2016-06-27 15:00:00,-0.004621030499249585,14.259
2016-06-27 15:15:00,-0.004382997548709437,14.312
2016-06-27 15:30:00,-0.004501094362715785,14.378
2016-06-27 15:45:00,-0.004642589547314655,14.414
2016-06-27 16:00:00,-0.0042319556648055855,14.489
2016-06-27 16:15:00,-0.0045620983319601,14.521
2016-06-27 16:30:00,-0.004664939025432525,14.575
2016-06-27 16:45:00,-0.004435107128571371,14.647
2016-06-27 17:00:00,-0.004966267918864665,14.717
2016-06-27 17:15:00,-0.004656044636049994,14.767
2016-06-27 17:30:00,-0.004679857367033726,14.818
2016-06-27 17:45:00,-0.00422547085631061,14.855
2016-06-27 18:00:00,-0.004282325751540954,14.88
2016-06-27 18:15:00,-0.004170038188164737,14.91
2016-06-27 18:30:00,-0.004611598672132108,14.94
2016-06-27 18:45:00,-0.004491900485129845,14.957
2016-06-27 19:00:00,-0.004757915753558021,14.978
2016-06-27 19:15:00,-0.004761294910409824,14.995
2016-06-27 19:30:00,-0.004507650282564935,15.016
2016-06-27 19:45:00,-0.004726019576135177,15.03
2016-06-27 20:00:00,-0.00422463940047657,15.039
2016-06-27 20:15:00,-0.004351530774464114,15.042
2016-06-27 20:30:00,-0.004604305655745791,15.049
2016-06-27 20:45:00,-0.004391113815773709,15.057
2016-06-27 21:00:00,-0.004353684627981588,15.067
2016-06-27 21:15:00,-0.00426256226517001,15.076
2016-06-27 21:30:00,-0.004299991452962132,15.066
2016-06-27 21:45:00,-0.004970514087227598,15.052
2016-06-27 22:00:00,-0.0038531741988860396,15.048
2016-06-27 22:15:00,-0.0046477820436992825,15.033
2016-06-27 22:30:00,-0.004356431987801568,15.01
2016-06-27 22:45:00,-0.004396015029111164,15.025
2016-06-27 23:00:00,-0.004536146790245358,15.042
2016-06-27 23:15:00,-0.0043899678289497975,15.031
2016-06-27 23:30:00,-0.0043725578548985495,14.994
2016-06-27 23:45:00,-0.00438012711154557,14.939
2016-06-28 00:00:00,-0.0048445922892042985,14.892
2016-06-28 00:15:00,-0.004931762501752043,14.853
2016-06-28 00:30:00,-0.0048938396370586,14.816
2016-06-28 00:45:00,-0.00496992331597702,14.788
2016-06-28 01:00:00,-0.005311666706552801,14.761
2016-06-28 01:15:00,-0.005758998150420986,14.731
2016-06-28 01:30:00,-0.004859533878748196,14.694
2016-06-28 01:45:00,-0.004909927213426265,14.644
2016-06-28 02:00:00,-0.004647805291641981,14.592
2016-06-28 02:15:00,-0.005294870751694831,14.547
2016-06-28 02:30:00,-0.0050560678839926595,14.499
2016-06-28 02:45:00,-0.00527380538053123,14.439
2016-06-28 03:00:00,-0.004865504497451233,14.376
2016-06-28 03:15:00,-0.0053643752628213985,14.322
2016-06-28 03:30:00,-0.005745563574576272,14.283
2016-06-28 03:45:00,-0.0055061083969516565,14.256
2016-06-28 04:00:00,-0.005316097490931487,14.241
2016-06-28 04:15:00,-0.005933934816871058,14.225
2016-06-28 04:30:00,-0.005483303532661636,14.204
2016-06-28 04:45:00,-0.006447271272722198,14.177
2016-06-28 05:00:00,-0.005797558282250405,14.15
2016-06-28 05:15:00,-0.006036737219614316,14.123
2016-06-28 05:30:00,-0.005462238161497881,14.096
2016-06-28 05:45:00,-0.006058772166742463,14.074
2016-06-28 06:00:00,-0.005531919083483966,14.054
2016-06-28 06:15:00,-0.0055959083620798,14.038
2016-06-28 06:30:00,-0.006498910423625367,14.024
2016-06-28 06:45:00,-0.005749004270099941,14.015
2016-06-28 07:00:00,-0.005447358110625999,14.009
2016-06-28 07:15:00,-0.00523639944068181,14.008
2016-06-28 07:30:00,-0.005423031189850175,14.006
2016-06-28 07:45:00,-0.005737562179699647,14.006
2016-06-28 08:00:00,-0.006332436008328223,14.006
2016-06-28 08:15:00,-0.005937651752655432,14.011
2016-06-28 08:30:00,-0.006403401037268425,14.017
2016-06-28 08:45:00,-0.006109165501420532,14.024
2016-06-28 09:00:00,-0.005604979162321853,14.029
2016-06-28 09:15:00,-0.0057561974570852215,14.035
2016-06-28 09:30:00,-0.005589861161918434,14.044
2016-06-28 09:45:00,-0.005593022882129471,14.068
2016-06-28 10:00:00,-0.006007232845240482,14.098
2016-06-28 10:15:00,-0.00627526384705578,14.117
2016-06-28 10:30:00,-0.006069482630709747,14.138
2016-06-28 10:45:00,-0.005313667397153458,14.162
2016-06-28 11:00:00,-0.005861823801106943,14.188
2016-06-28 11:15:00,-0.0052437690385266095,14.211
2016-06-28 11:30:00,-0.005458106865322604,14.229
2016-06-28 11:45:00,-0.005437949531451376,14.249
2016-06-28 12:00:00,-0.006355555403608115,14.268
2016-06-28 12:15:00,-0.005697047853154975,14.304
2016-06-28 12:30:00,-0.005964209108407215,14.351
2016-06-28 12:45:00,-0.005808445157077359,14.397
2016-06-28 13:00:00,-0.005593731260619625,14.454
2016-06-28 13:15:00,-0.005496482381136267,14.503
2016-06-28 13:30:00,-0.00592831975493929,14.563
2016-06-28 13:45:00,-0.005421386056020636,14.625
2016-06-28 14:00:00,-0.006358417635615746,14.679
2016-06-28 14:15:00,-0.0061028953945140895,14.729
2016-06-28 14:30:00,-0.005903299498459775,14.771
2016-06-28 14:45:00,-0.005857945497249515,14.816
2016-06-28 15:00:00,-0.00559961709270794,14.862
2016-06-28 15:15:00,-0.005929542323221538,14.901
2016-06-28 15:30:00,-0.0059939459622084315,14.966
2016-06-28 15:45:00,-0.006131192243392292,15.013
2016-06-28 16:00:00,-0.006131685920293611,15.06
2016-06-28 16:15:00,-0.006292251255559736,15.111
2016-06-28 16:30:00,-0.005988430729677698,15.175
2016-06-28 16:45:00,-0.005904284117210638,15.211
2016-06-28 17:00:00,-0.005714766888091938,15.243
2016-06-28 17:15:00,-0.005658326353252503,15.299
2016-06-28 17:30:00,-0.006162136622689288,15.369
2016-06-28 17:45:00,-0.006181917886898623,15.424
2016-06-28 18:00:00,-0.006380920276650433,15.464
2016-06-28 18:15:00,-0.006593380490189657,15.511
2016-06-28 18:30:00,-0.006334044218954518,15.558
2016-06-28 18:45:00,-0.006101702911804772,15.585
2016-06-28 19:00:00,-0.006375128803859149,15.619
2016-06-28 19:15:00,-0.0068653431293781665,15.655
2016-06-28 19:30:00,-0.0071100550771113534,15.67
2016-06-28 19:45:00,-0.007141437064742107,15.666
2016-06-28 20:00:00,-0.006902120007247844,15.666
2016-06-28 20:15:00,-0.0069011121405542835,15.667
2016-06-28 20:30:00,-0.006576146926997929,15.657
2016-06-28 20:45:00,-0.006856134209005761,15.637
2016-06-28 21:00:00,-0.006769695622891024,15.621
2016-06-28 21:15:00,-0.006572847086656691,15.606
2016-06-28 21:30:00,-0.007169381091901119,15.584
2016-06-28 21:45:00,-0.007041343731089661,15.555
2016-06-28 22:00:00,-0.0071721284517211,15.527
2016-06-28 22:15:00,-0.006474552049750605,15.5
2016-06-28 22:30:00,-0.007284277894967112,15.47
2016-06-28 22:45:00,-0.007110392856043927,15.439
2016-06-28 23:00:00,-0.007164165347573794,15.406
2016-06-28 23:15:00,-0.006908228746081079,15.375
2016-06-28 23:30:00,-0.0070265635096188155,15.339
2016-06-28 23:45:00,-0.007165411163798741,15.303
2016-06-29 00:00:00,-0.007361983459772524,15.264
2016-06-29 00:15:00,-0.007430656515064894,15.223
2016-06-29 00:30:00,-0.007260012512863156,15.182
2016-06-29 00:45:00,-0.007354020355625066,15.143
2016-06-29 01:00:00,-0.007206695407505591,15.106
2016-06-29 01:15:00,-0.007011507047887262,15.069
2016-06-29 01:30:00,-0.007439550904447428,15.031
2016-06-29 01:45:00,-0.007116463304147995,14.992
2016-06-29 02:00:00,-0.00694178783517201,14.955
2016-06-29 02:15:00,-0.007350326667783393,14.916
2016-06-29 02:30:00,-0.006915821250670955,14.879
2016-06-29 02:45:00,-0.007214957999856302,14.84
2016-06-29 03:00:00,-0.007070656651817509,14.8
2016-06-29 03:15:00,-0.007222389136373122,14.758
2016-06-29 03:30:00,-0.007783371567082198,14.717
2016-06-29 03:45:00,-0.006911475252906837,14.673
2016-06-29 04:00:00,-0.007375940430565563,14.626
2016-06-29 04:15:00,-0.007663635089350619,14.578
2016-06-29 04:30:00,-0.007629961128072189,14.53
2016-06-29 04:45:00,-0.007576782142844826,14.481
2016-06-29 05:00:00,-0.007522595290924052,14.433
2016-06-29 05:15:00,-0.007936390893644004,14.382
2016-06-29 05:30:00,-0.00755040119795271,14.324
2016-06-29 05:45:00,-0.007600794532630779,14.274
2016-06-29 06:00:00,-0.007644132800453915,14.231
2016-06-29 06:15:00,-0.00756057969428951,14.185
2016-06-29 06:30:00,-0.007886059097637807,14.147
2016-06-29 06:45:00,-0.008103934714306727,14.114
2016-06-29 07:00:00,-0.007300987695684441,14.083
2016-06-29 07:15:00,-0.00750979251211116,14.059
2016-06-29 07:30:00,-0.007606171645031156,14.038
2016-06-29 07:45:00,-0.007469063483977648,14.018
2016-06-29 08:00:00,-0.007485189351074629,14.002
2016-06-29 08:15:00,-0.0075570241265781905,13.985
2016-06-29 08:30:00,-0.008037100981541806,13.97
2016-06-29 08:45:00,-0.00802969035791576,13.957
2016-06-29 09:00:00,-0.007639155005658128,13.951
2016-06-29 09:15:00,-0.007844066475440952,13.958
2016-06-29 09:30:00,-0.008455994721349357,13.975
2016-06-29 09:45:00,-0.007624175125384908,13.993
2016-06-29 10:00:00,-0.008267485358924217,14.006
2016-06-29 10:15:00,-0.008309301570261702,14.012
2016-06-29 10:30:00,-0.008095101863596061,14.021
2016-06-29 10:45:00,-0.008200828037018815,14.045
2016-06-29 11:00:00,-0.007553762576965967,14.09
2016-06-29 11:15:00,-0.007699071791698321,14.129
2016-06-29 11:30:00,-0.007505523095805377,14.165
2016-06-29 11:45:00,-0.00800919524511196,14.208
2016-06-29 12:00:00,-0.007894674511707705,14.247
2016-06-29 12:15:00,-0.008043362883291858,14.303
2016-06-29 12:30:00,-0.007994115535437706,14.379
2016-06-29 12:45:00,-0.008107173015976096,14.45
2016-06-29 13:00:00,-0.007972850505471734,14.529
2016-06-29 13:15:00,-0.007950953678474088,14.605
2016-06-29 13:30:00,-0.007824694101518214,14.676
2016-06-29 13:45:00,-0.007998717260571754,14.734
2016-06-29 14:00:00,-0.008340222701615996,14.809
2016-06-29 14:15:00,-0.00828089668682623,14.895
2016-06-29 14:30:00,-0.00821236175166406,14.963
2016-06-29 14:45:00,-0.008706231474295582,15.07
2016-06-29 15:00:00,-0.008125447266486396,15.151
2016-06-29 15:15:00,-0.008134062680556145,15.251
2016-06-29 15:30:00,-0.008341483560627562,15.303
2016-06-29 15:45:00,-0.008129931384380715,15.384
2016-06-29 16:00:00,-0.008515268770149565,15.463
2016-06-29 16:15:00,-0.008139040475351932,15.531
2016-06-29 16:30:00,-0.008517184674135654,15.59
2016-06-29 16:45:00,-0.008049834016526444,15.667
2016-06-29 17:00:00,-0.00728105463608421,15.731
2016-06-29 17:15:00,-0.00832065066889119,15.785
2016-06-29 17:30:00,-0.00813933449345118,15.836
2016-06-29 17:45:00,-0.008186248841876263,15.898
2016-06-29 18:00:00,-0.008451611800382147,15.94
2016-06-29 18:15:00,-0.008127140263727411,15.977
2016-06-29 18:30:00,-0.008463112694402376,16.01
2016-06-29 18:45:00,-0.00830497745291428,16.038
2016-06-29 19:00:00,-0.008389400305642046,16.056
2016-06-29 19:15:00,-0.008505205146000415,16.07
2016-06-29 19:30:00,-0.008631088653294547,16.074
2016-06-29 19:45:00,-0.008631088653294547,16.074
2016-06-29 20:00:00,-0.008634112253375232,16.071
2016-06-29 20:15:00,-0.00866851784108652,16.064
2016-06-29 20:30:00,-0.008706954895572204,16.053
2016-06-29 20:45:00,-0.009054093176386908,16.041
2016-06-29 21:00:00,-0.008759502083767747,16.028
2016-06-29 21:15:00,-0.008227609667041594,16.013
2016-06-29 21:30:00,-0.008686383201310072,15.992
2016-06-29 21:45:00,-0.008708556268568418,15.97
2016-06-29 22:00:00,-0.008716263645345794,15.942
2016-06-29 22:15:00,-0.009133220968276786,15.915
2016-06-29 22:30:00,-0.008775727780265915,15.883
2016-06-29 22:45:00,-0.008522814778853884,15.849
2016-06-29 23:00:00,-0.00871737134144039,15.812
2016-06-29 23:15:00,-0.008831892074844645,15.773
2016-06-29 23:30:00,-0.008660240205949342,15.733
2016-06-29 23:45:00,-0.008467067579718136,15.694
2016-06-30 00:00:00,-0.008536748501704224,15.652
2016-06-30 00:15:00,-0.008395470753746116,15.609
2016-06-30 00:30:00,-0.008495525796669396,15.564
2016-06-30 00:45:00,-0.008876931545065032,15.518
2016-06-30 01:00:00,-0.008485685079265167,15.472
2016-06-30 01:15:00,-0.008249905811643681,15.421
2016-06-30 01:30:00,-0.008188881329508742,15.373
2016-06-30 01:45:00,-0.008450233334131,15.324
2016-06-30 02:00:00,-0.008344369040577894,15.273
2016-06-30 02:15:00,-0.008452487017049511,15.22
2016-06-30 02:30:00,-0.008034107467034052,15.167
2016-06-30 02:45:00,-0.008473237857223393,15.118
2016-06-30 03:00:00,-0.008524639058595022,15.067
2016-06-30 03:15:00,-0.008574024526579528,15.018
2016-06-30 03:30:00,-0.008415257488059762,14.972
2016-06-30 03:45:00,-0.008593550063418933,14.924
2016-06-30 04:00:00,-0.008323365208086159,14.88
2016-06-30 04:15:00,-0.00862350982396522,14.84
2016-06-30 04:30:00,-0.008590626292739436,14.798
2016-06-30 04:45:00,-0.0085478815312188,14.759
2016-06-30 05:00:00,-0.008641889373980709,14.72
2016-06-30 05:15:00,-0.008807079682323585,14.685
2016-06-30 05:30:00,-0.008815004495741874,14.65
2016-06-30 05:45:00,-0.008820913575772889,14.617
2016-06-30 06:00:00,-0.008824806922416783,14.586
2016-06-30 06:15:00,-0.008911759698323765,14.554
2016-06-30 06:30:00,-0.008914645178274097,14.524
2016-06-30 06:45:00,-0.009284746956399794,14.496
2016-06-30 07:00:00,-0.00888881671390324,14.475
2016-06-30 07:15:00,-0.008858304472835695,14.451
2016-06-30 07:30:00,-0.009248701704962973,14.43
2016-06-30 07:45:00,-0.009028534114646528,14.411
2016-06-30 08:00:00,-0.00912268007753864,14.399
2016-06-30 08:15:00,-0.00889142595359302,14.391
2016-06-30 08:30:00,-0.00937229323860928,14.382
2016-06-30 08:45:00,-0.009347966317833455,14.379
2016-06-30 09:00:00,-0.009222082810539474,14.375
2016-06-30 09:15:00,-0.00933069446391271,14.369
2016-06-30 09:30:00,-0.009225106410620156,14.372
2016-06-30 09:45:00,-0.009015946037422323,14.376
2016-06-30 10:00:00,-0.009215027743684543,14.382
2016-06-30 10:15:00,-0.009312552863428606,14.387
2016-06-30 10:30:00,-0.009071002635906456,14.396
2016-06-30 10:45:00,-0.009113609277296587,14.408
2016-06-30 11:00:00,-0.009242516384671405,14.409
2016-06-30 11:15:00,-0.009413022266742793,14.423
2016-06-30 11:30:00,-0.009884166441594556,14.444
2016-06-30 11:45:00,-0.00970271214602435,14.468
2016-06-30 12:00:00,-0.009629869503827377,14.486
2016-06-30 12:15:00,-0.009661389611588333,14.509
2016-06-30 12:30:00,-0.009588546969391362,14.527
2016-06-30 12:45:00,-0.009749982051220695,14.55
2016-06-30 13:00:00,-0.009962086707988652,14.577
2016-06-30 13:15:00,-0.00975025829148125,14.604
2016-06-30 13:30:00,-0.009413554234373428,14.626
2016-06-30 13:45:00,-0.00973527841120818,14.646
2016-06-30 14:00:00,-0.009589237570042972,14.662
2016-06-30 14:15:00,-0.009371361953374204,14.695
2016-06-30 14:30:00,-0.009171766057319739,14.737
2016-06-30 14:45:00,-0.009675438206626323,14.78
2016-06-30 15:00:00,-0.00935815985695672,14.837
2016-06-30 15:15:00,-0.009612218845192512,14.897
2016-06-30 15:30:00,-0.009657196776741034,14.927
2016-06-30 15:45:00,-0.009524534442852676,14.984
2016-06-30 16:00:00,-0.009192493649550921,15.076
2016-06-30 16:15:00,-0.008683682337375494,15.167
2016-06-30 16:30:00,-0.009470503488900798,15.214
2016-06-30 16:45:00,-0.00955103299498452,15.263
2016-06-30 17:00:00,-0.009393173993757128,15.345
2016-06-30 17:15:00,-0.009464494579468597,15.376
2016-06-30 17:30:00,-0.009374300766840168,15.418
2016-06-30 17:45:00,-0.009367739376886708,15.472
2016-06-30 18:00:00,-0.009502831804553094,15.494
2016-06-30 18:15:00,-0.009196778108643019,15.567
2016-06-30 18:30:00,-0.009991662193716814,15.606
2016-06-30 18:45:00,-0.009819416818519007,15.648
2016-06-30 19:00:00,-0.010096518620576358,15.658
2016-06-30 19:15:00,-0.01005318035275322,15.701
2016-06-30 19:30:00,-0.009932829855828513,15.739
2016-06-30 19:45:00,-0.010018043138608927,15.763
2016-06-30 20:00:00,-0.009762600214017834,15.779
2016-06-30 20:15:00,-0.010006304295057307,15.795
2016-06-30 20:30:00,-0.009946346483235717,15.807
2016-06-30 20:45:00,-0.009728332746436747,15.813
2016-06-30 21:00:00,-0.010016521082123272,15.812
2016-06-30 21:15:00,-0.009925043162540729,15.801
2016-06-30 21:30:00,-0.009909787042006958,15.789
2016-06-30 21:45:00,-0.009947216229799079,15.779
2016-06-30 22:00:00,-0.009774694614340568,15.767
2016-06-30 22:15:00,-0.009951109576442971,15.748
2016-06-30 22:30:00,-0.00974584254988903,15.721
2016-06-30 22:45:00,-0.009716338175515047,15.696
2016-06-30 23:00:00,-0.009746574176321885,15.666
2016-06-30 23:15:00,-0.00928349293501846,15.637
2016-06-30 23:30:00,-0.00959587007135061,15.612
2016-06-30 23:45:00,-0.009696280671045004,15.587
2016-07-01 00:00:00,-0.009332740282872766,15.561
2016-07-01 00:15:00,-0.00962280623181606,15.531
2016-07-01 00:30:00,-0.009736101661885991,15.5
2016-07-01 00:45:00,-0.009786850553335173,15.47
2016-07-01 01:00:00,-0.009688179446767349,15.439
2016-07-01 01:15:00,-0.009307367204674212,15.403
2016-07-01 01:30:00,-0.009713890303898473,15.366
2016-07-01 01:45:00,-0.009754204971640926,15.326
2016-07-01 02:00:00,-0.009378432063015597,15.285
2016-07-01 02:15:00,-0.009438251754706835,15.246
2016-07-01 02:30:00,-0.009505916943305798,15.206
2016-07-01 02:45:00,-0.00964879606425997,15.166
2016-07-01 03:00:00,-0.009513348079822466,15.124
2016-07-01 03:15:00,-0.009630892413307404,15.082
2016-07-01 03:30:00,-0.009466078174626117,15.042
2016-07-01 03:45:00,-0.00970950601540519,15.004
2016-07-01 04:00:00,-0.009953724286236755,14.972
2016-07-01 04:15:00,-0.00951518740235007,14.939
2016-07-01 04:30:00,-0.01004759400886831,14.906
2016-07-01 04:45:00,-0.009503469071689075,14.876
2016-07-01 05:00:00,-0.009763160899695327,14.849
2016-07-01 05:15:00,-0.009921296141183273,14.821
2016-07-01 05:30:00,-0.009557755753011033,14.795
2016-07-01 05:45:00,-0.00976656056943775,14.771
2016-07-01 06:00:00,-0.009894321689988654,14.746
2016-07-01 06:15:00,-0.009709567554077056,14.719
2016-07-01 06:30:00,-0.009709429433946704,14.692
2016-07-01 06:45:00,-0.009847051784792307,14.664
2016-07-01 07:00:00,-0.00990060683968141,14.638
2016-07-01 07:15:00,-0.00984576767783819,14.611
2016-07-01 07:30:00,-0.0099530159077466,14.586
2016-07-01 07:45:00,-0.009765238171754318,14.562
2016-07-01 08:00:00,-0.009916318346387485,14.541
2016-07-01 08:15:00,-0.010295846481526354,14.524
2016-07-01 08:30:00,-0.009758914731332396,14.514
2016-07-01 08:45:00,-0.009479797195887771,14.506
2016-07-01 09:00:00,-0.010300530258223042,14.499
2016-07-01 09:15:00,-0.009638070557506068,14.505
2016-07-01 09:30:00,-0.009918195959644254,14.512
2016-07-01 09:45:00,-0.009839958427208209,14.515
2016-07-01 10:00:00,-0.01005127265392352,14.536
2016-07-01 10:15:00,-0.010042201853681468,14.545
2016-07-01 10:30:00,-0.010018013053035993,14.569
2016-07-01 10:45:00,-0.009972520931695383,14.587
2016-07-01 11:00:00,-0.010067812881411557,14.601
2016-07-01 11:15:00,-0.010031391560312998,14.61
2016-07-01 11:30:00,-0.00993422199734005,14.625
2016-07-01 11:45:00,-0.009616449970769131,14.635
2016-07-01 12:00:00,-0.009707927890351672,14.646
2016-07-01 12:15:00,-0.010013388079959246,14.655
2016-07-01 12:30:00,-0.00989491519629116,14.664
2016-07-01 12:45:00,-0.009865331505406763,14.673
2016-07-01 13:00:00,-0.010112059186527073,14.686
2016-07-01 13:15:00,-0.010326397013323064,14.704
2016-07-01 13:30:00,-0.010060005675232998,14.758
2016-07-01 13:45:00,-0.01027412606538823,14.783
2016-07-01 14:00:00,-0.010300962396452647,14.831
2016-07-01 14:15:00,-0.01019248886320976,14.864
2016-07-01 14:30:00,-0.010596620159385159,14.904
2016-07-01 14:45:00,-0.010071406739852046,14.957
2016-07-01 15:00:00,-0.010256160875763642,14.984
2016-07-01 15:15:00,-0.010081109337125919,15.022
2016-07-01 15:30:00,-0.009898429738221233,15.054
2016-07-01 15:45:00,-0.010183950030598344,15.076
2016-07-01 16:00:00,-0.009803414028765915,15.094
2016-07-01 16:15:00,-0.009743673653585088,15.099
2016-07-01 16:30:00,-0.010201360004649593,15.113
2016-07-01 16:45:00,-0.010081661817647178,15.13
2016-07-01 17:00:00,-0.010196458791311987,15.145
2016-07-01 17:15:00,-0.010419867418350031,15.154
2016-07-01 17:30:00,-0.01044016287235161,15.161
2016-07-01 17:45:00,-0.010243452456247628,15.173
2016-07-01 18:00:00,-0.010848325635301257,15.197
2016-07-01 18:15:00,-0.01008948680166428,15.224
2016-07-01 18:30:00,-0.009852323597687495,15.249
2016-07-01 18:45:00,-0.009288179446767228,15.266
2016-07-01 19:00:00,-0.009563403635567961,15.305
2016-07-01 19:15:00,-0.009516903647533785,15.324
2016-07-01 19:30:00,-0.009633716354585715,15.337
2016-07-01 19:45:00,-0.00957678214284481,15.346
2016-07-01 20:00:00,-0.009724976837527648,15.355
2016-07-01 20:15:00,-0.009537337221665719,15.358
2016-07-01 20:30:00,-0.010066067918180833,15.349
2016-07-01 20:45:00,-0.010161221747766657,15.336
2016-07-01 21:00:00,-0.010378445054512981,15.324
